Userid,Event Name,Latitude,Longitude,Tweet Timestamp,Event Timestamp,Hashtags,Category (for our reference),Emotion,Uncertainity,NPMI,Link_Ratio,Hashtag_Ratio,User_Credibility,User_Diversity,Degree_Centrality,Tweet_Similarity,PMI
shyStork6,Womens World Cup,67.51433,173.5753,10/26/2022 15:34,10/24/2022 8:59,#womenempowerment #roselavelle #emilysonnett #carlilloyd #malpugh #women #woso #abbydahlkemper #soccerskills #kelleyohara #beckysauerbrunn #fawsl #lionesses #tobintuesday #preath #womenempowerment #portlandthornsfc #preathisreal,Sports,happy,0.919215456,0.8954088996640441,0.4646437463005447,0.38224136901158234,0.11541957029504474,0.6251986594211109,0.5141686059076599,0.34902167424002806,0.7732945992939282
jealousPolenta0,Central Pennsylvania Festival of the Arts,27.64384,-34.7157,10/30/2022 15:16,10/25/2022 13:01,#cpartsfestival #artfestival are #artfestival #art #festival #contemporaryart #artist #artwork #musicfestival #photography #music #artfest #Pennsylvania ,Social Gathering,happy,0.445912965,0.5551155638006293,0.5799587507600411,0.616377996737937,0.46011080728764553,0.6041025832204201,0.10478383908355635,0.9841778515883217,-0.20895859732270583
cynicalHyena7,CES (Consumer Electronics Show),-55.2708,-123.103,10/30/2022 11:23,10/25/2022 17:47,#tech  #hiphop #vegasbachelorettes #nazionalit #gufo #ilbuonfabio #business #canedrocato #sema #seriea #omnia #top #treasures #scores,Summit,happy,0.728233331,0.8211059612032459,0.4262853704620667,0.47460701786907755,0.6437305645872825,0.9372887723811058,0.8561666535474286,0.3329596774161394,-0.15076072393681195
insecureRat7,Cisco Live,-34.5573,-90.8278,10/22/2022 1:00,10/26/2022 4:42,#juniper #ciscocertification #azure #business #itcertification #windows #firewall #infosec #cat #cybercrime #mcse #switching,Summit,happy,0.668309809,0.4278709174058777,0.170093823589393,0.667573791303866,0.5932598568264835,0.11950847458014774,0.1998680073739854,0.6993697769222849,0.9639440382926057
insecureRat7,World War 3 memorial meet,4.431105,-17.8338,10/21/2022 18:16,10/26/2022 20:20,#Dailyfluffs #WWIII #Dogs #Ducks #War #Victory #Peace,Summit,happy,0.720786365,0.47798048174706886,0.48235117356296364,0.27893691346844596,0.9486323442057925,0.6844128525189036,0.9448053567006819,0.5180775753474618,-0.08574803274433562
shyStork6,ICML 2022 (Tech conference),68.98804,-8.76678,10/28/2022 5:27,10/26/2022 21:48,#hawaii #machinelearningalgorithms #computervision #android #cloud #bhfyp #research #ieee,Summit,happy,0.846522296,0.5047669169588356,0.33930966972365406,0.16863645905683244,0.6997077829863264,0.7245111272720182,0.6653858217233146,0.45532976320565155,-0.6761101195203489
resolvedAntelope6,Wimbeldon 2022,-37.6125,57.95785,10/24/2022 17:37,10/27/2022 10:42,#volunteering #Wimbledon #firstaid #healthcare #Wimbledon2022 #howmanyicecreamsaretoomany,Sports,happy,0.926413414,0.24710654487917855,0.5411320995617817,0.12051010662959347,0.4719161704674768,0.6271746268461379,0.4831248332868532,0.47236382494393003,-0.9518532705228209
gutturalTacos8,CVPR 2022,-28.2005,100.9213,10/21/2022 17:26,10/28/2022 5:20,#cvpr #computervision #AI #neworleans,Summit,happy,0.654166525,0.7922464775907587,0.18795342508834265,0.36056272572756576,0.9189039708149649,0.647793403565904,0.8932412017838223,0.29096147118201154,0.7146547397199647
amusedStork8,Jammu Traffic,-75.9836,-135.283,10/22/2022 7:02,10/28/2022 6:49,#NH44 #update : #heavy #Traffic #jam on #jammu -#Srinagar,Traffic,anger,0.520171581,0.35311846998061025,0.5260049519280109,0.5414655070996541,0.5981546872303578,0.9136144762834468,0.8877499008123493,0.8002368407986314,-0.658177527047837
grumpyPiglet8,Olympics 2023,-69.658,-135.559,10/21/2022 8:27,10/28/2022 8:46,#olympics #london #japan #india #training #usa #nike #trending #sport #football  #olympics2023,Social Gathering,happy,0.467042725,0.48096515651095706,0.5560513123297567,0.9422036169067876,0.38646310092109726,0.5950649631062485,0.5409922456196801,0.6506962716703152,-0.47461958243425384
hushedChough4,PAXWest 2022,75.53302,16.20988,10/29/2022 13:21,10/28/2022 15:12,#gamedev #indiegame #gaming #game #platformergame #indiedev #actiongame #fantasygame #PAXWest #events #gamingevents,Social Gathering,happy,0.669989641,0.6741153146051995,0.11595861647865414,0.39292704637083264,0.437902356855179,0.17024431800710538,0.5672232745569067,0.7568612119814572,-0.4431293190911588
jealousStork9,Tater Treat,51.68913,58.18005,10/30/2022 17:09,10/28/2022 21:21,#Game #TATER #Discord #GiveAway #PlayToEarn #LovePotato #CryptoNews #Competition #Reward #Games #Prizes,Social Gathering,happy,0.96360952,0.8153768663692639,0.1134472249861365,0.42242387835403583,0.7271383959472651,0.7422648222171908,0.27519867842469525,0.8344303453542474,-0.5033182072533056
similarPiglet1,CES (Consumer Electronics Show),-45.4684,21.35643,10/20/2022 12:34,10/28/2022 22:12,#ces #vegas #ch #free #vegasbound #encorebeachclub #viphost #nightclub #cosmopolitanlasvegas #wetrepublic #mgmgrand #edc ,Summit,happy,0.701094204,0.3241266824463185,0.935247365141245,0.8209992053411088,0.5465365712624003,0.2645355437982305,0.5808459271545987,0.7380124601693764,-0.9655127167687221
pitifulMagpie1,FINA World Swimming Championships (25m),-67.5952,174.1374,10/21/2022 6:56,10/29/2022 2:35,#nadadoras #instaswim #quicklymallas #mallasquickly #swimstagram #look #swimmingpool #trajesdeba #fina #swimming #swim #swimmer #swim25m,Social Gathering,happy,0.943111377,0.6295258672218347,0.6261761686610798,0.7778785643568822,0.9312175626296183,0.7560403742420017,0.8574728458197356,0.6105515983036943,-0.790347310359223
affectedViper9,AZ election campaign,-59.9505,119.9115,10/24/2022 18:13,10/29/2022 6:09,#leadright #BlakeMasters #AZ #election,political,happy,0.835110247,0.17992702599140356,0.8918991919351802,0.9897634097932774,0.7739314210383553,0.2602689233559452,0.2621328280894044,0.3198927904580421,-0.48871155014051826
fondLapwing2,50 Year Anniversary of Pride March,-81.8406,-137.482,10/28/2022 14:18,10/29/2022 6:55,#prideparade #pride #pridemonth #lgbtq #gay #lgbt #gaypride #gayfow #prideflag #nycpride #bisexualpride #bi #pridefest #celebration #happypride #prideparadenyc,political,happy,0.632715059,0.9451984610737293,0.8579819991083389,0.6637737707090261,0.6362587656206075,0.6846596403998573,0.49572248841282884,0.8885021028031496,-0.5086316000778158
jumpyFish2,Global Climate change strike,-23.5313,-132.779,10/31/2022 9:58,10/29/2022 13:10,#climatechange #environment #sustainability #nature #globalwarming #savetheplanet #climate #climatecrisis #ecofriendly #climateaction #zerowaste #sustainable #earth #gogreen #climatechangeisreal #plasticfree #green #sustainableliving #climateemergency #recycle #eco #pollution ,Protest,happy,0.578713464,0.9279960888191626,0.8805674412638868,0.16860112167093505,0.7296668158836641,0.5049489769453417,0.7602592291444231,0.24514575456439325,-0.7388761803066322
